City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
123,susuman,62.7833,148.1667,16.95,86,97,1.15,RU,2023-07-14
124,port saint john's,-31.6229,29.5448,18.85,70,5,5.75,ZA,2023-07-14
125,antofagasta,-23.65,-70.4,18.6,64,54,2.02,CL,2023-07-14
126,geneina,13.45,22.45,36.47,22,40,0.64,SD,2023-07-14
127,shingu,33.7333,135.9833,24.27,95,99,2.31,JP,2023-07-14
128,port pirie,-33.1833,138.0167,14.02,46,100,6.96,AU,2023-07-14
129,at taj,24.2049,23.2857,36.7,5,31,7.67,LY,2023-07-14
130,zakamensk,50.3741,103.2863,14.86,86,18,1.51,RU,2023-07-14
131,saipan,15.1355,145.701,28.39,100,40,5.14,MP,2023-07-14
132,azangaro,-14.9167,-70.2167,12.15,42,77,2.94,PE,2023-07-14
133,ndele,8.4109,20.6473,27.6,76,84,2.61,CF,2023-07-14
134,chapadinha,-3.7417,-43.3603,34.24,39,22,1.84,BR,2023-07-14
135,bonao,18.9369,-70.4092,32.03,47,30,2.98,DO,2023-07-14
136,nar'yan-mar,67.6713,53.087,20.03,53,9,4.57,RU,2023-07-14
137,pirane,-25.7324,-59.1088,13.54,54,75,2.14,AR,2023-07-14
138,morehead city,34.7229,-76.726,29.45,81,0,5.14,US,2023-07-14
139,goleniow,53.5639,14.8285,24.95,46,0,3.6,PL,2023-07-14
140,anadyr,64.75,177.4833,6.28,93,75,3.0,RU,2023-07-14
141,les anglais,18.3054,-74.2197,31.28,59,33,5.14,HT,2023-07-14
142,punta arenas,-53.15,-70.9167,-1.94,93,0,1.54,CL,2023-07-14
143,san mariano,7.5,126.0,24.84,81,100,0.91,PH,2023-07-14
144,holmsund,63.706,20.3641,20.97,60,0,5.14,SE,2023-07-14
145,labuan,5.2767,115.2417,26.2,83,20,1.03,MY,2023-07-14
146,at tall al kabir,30.5445,31.7853,37.06,16,3,7.26,EG,2023-07-14
147,auki,-8.7676,160.7034,24.72,90,100,3.68,SB,2023-07-14
148,qaqortoq,60.7167,-46.0333,7.74,84,100,1.6,GL,2023-07-14
149,cidreira,-30.1811,-50.2056,12.41,79,66,6.0,BR,2023-07-14
150,tupiza,-21.45,-65.7167,14.88,5,4,1.03,BO,2023-07-14
151,papao,-17.75,-149.55,22.82,65,43,2.06,PF,2023-07-14
152,kirov,58.5966,49.6601,19.06,65,100,2.5,RU,2023-07-14
153,nalut,30.3333,10.85,37.42,9,0,2.52,LY,2023-07-14
154,enewetak,11.3474,162.3373,28.37,79,95,8.27,MH,2023-07-14
155,merowe,18.4833,31.8167,43.59,8,47,5.96,SD,2023-07-14
156,kruisfontein,-34.0033,24.7314,17.84,40,92,2.19,ZA,2023-07-14
157,san luis de la loma,17.2706,-100.8939,29.37,62,76,1.17,MX,2023-07-14
158,puerto ayora,-0.7393,-90.3518,27.98,92,67,3.13,EC,2023-07-14
159,beloyarskiy,63.7119,66.6722,18.3,42,78,3.58,RU,2023-07-14
160,northam,51.0333,-4.2167,19.1,95,100,10.44,GB,2023-07-14
161,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,100,100,2.0,RU,2023-07-14
162,hamilton,39.1834,-84.5333,28.14,72,0,2.57,US,2023-07-14
163,georgetown,5.4112,100.3354,26.24,89,40,1.54,MY,2023-07-14
164,arkhangel'sk,64.5401,40.5433,22.2,57,61,2.59,RU,2023-07-14
165,san andres,12.5847,-81.7006,30.01,79,20,7.2,CO,2023-07-14
166,ushuaia,-54.8,-68.3,1.81,69,0,0.0,AR,2023-07-14
167,port blair,11.6667,92.75,28.02,83,75,2.57,IN,2023-07-14
168,qamdo,31.1667,97.2333,6.73,75,99,2.05,CN,2023-07-14
169,souillac,-20.5167,57.5167,23.21,83,75,4.63,MU,2023-07-14
170,tataouine,32.9297,10.4518,38.96,9,0,3.5,TN,2023-07-14
171,antsiranana,-12.2787,49.2917,27.42,50,20,3.09,MG,2023-07-14
172,ca mau,9.1769,105.15,27.45,83,78,4.38,VN,2023-07-14
173,whitehorse,60.7161,-135.0538,9.43,87,75,1.54,CA,2023-07-14
174,stanthorpe,-28.6667,151.95,8.57,95,0,0.28,AU,2023-07-14
175,strelka,58.0728,93.0344,17.8,61,85,1.45,RU,2023-07-14
176,lazaro cardenas,17.9583,-102.2,29.02,77,61,1.72,MX,2023-07-14
177,magong,23.5654,119.5863,29.07,77,82,2.09,TW,2023-07-14
178,nouadhibou,20.931,-17.0347,27.99,69,0,5.66,MR,2023-07-14
